question,answer
STE yapan öğrenci nasıl değerlendirilir ?,STE raporlarının incelenmesi şeklinde ve/veya gerekli görüldüğünde yazılı veya sözlü sınavla da yapılabilir.
STE yapan öğrenci nasıl izlenir ?,"STE’nin yapıldığı işletme ile iletişime geçip, STE yapan öğrenci hakkında bilgi alarak öğrencileri izleyebilir."
STE raporları değerlendirme sonrası ne olur ?,STE raporları öğrencinin ilişiği kesildikten sonra iki yıl süreyle saklanır.
Ne tür belgeler gerekli?,"STE yeri kabul belgesi, Sigorta başlatma işlem belgesi ve provizyon, değerlendirme formu(fotoğraflı), ste raporu"
STE yönergesinde olmayan hallerde ne yapılır ?,Üniversite Senatosunca alınan kararlar uygulanır.
Yaz döneminde STE yapılabilir mi?,Yaz döneminde STE yapılamaz.
STE yapılcak kurumların uygunluğuna kim karar verir?,STE yapılacak kuruluşların uygunluğuna Bölüm STE Komisyonu karar verir.
STE sırasında hastalanma durumunda ne yapılmalıdır?,STE sırasında hastalanan veya hastalığı sebebiyle STE’ye devam edemeyen ya da bir kazaya uğrayan STE öğrencisinin STE’si sonlandırılır.
Mevcut STE kontejyanlarından faydalanabilir miyim?,Bölüm STE Komisyonu başvuru yapan öğrencilerin mevcut kontenjanlara dağılımını öğrencilerin genel akademik not ortalamasını dikkate alarak yapar
STE için sigorta gereklilikleri nelerdir?,"STE yeri belli olan öğrenciler, STE’ye başlayacağı günden en az 10 gün önce Nüfus Cüzdanı Fotokopisi ve STE Yeri Kabul Belgesini Dekanlık STE sekretaryasına’ya teslim etmek ve STE’ye başlamadan önce SGK primlerinin yatırıldığını takip etmek zorundadır. Primler yatırılmadan STE’ye başlanmamalıdır."
Nerelerde STE yapabilirim ?,"Yazılım ve Donanım üzerine lisans eğitimi gerektiren , mühendislik kavramına önem veren bilişim firmalarında"
Not ortalamasının yüksek olması mevcut kontejyanlara girebilmeyi kolaylaştırır mı?,Bölüm STE Komisyonu başvuru yapan öğrencilerin mevcut kontenjanlara dağılımını öğrencilerin genel akademik not ortalamasını dikkate alarak yapar
Kendi bulduğum firmada STE yapabilir miyim?,") STE yerinin öğrenci tarafından bulunması ve Bölüm STE komisyonunun uygun görmesi durumunda, ilgili öğrenciye ilgili kuruluşta STE için öncelik verilir."
STE muafiyeti yapılabilir mi?,"STE programlarının uygulanması üniversiteler arasında farklılık gösterdiğinden, dikey geçiş yapan öğrencilerin daha önce yapmış oldukları STE ve eşdeğer eğitimler transfer edilemez. Bu öğrenciler STE’lerini Namık Kemal Üniversitesi Çorlu Mühendislik Fakültesi STE Yönergesi’ne uygun şekilde yeniden yaparlar."
STE kontejyanlarına nasıl girebilirim?,"Öğrenciler, ilan edilen kontenjanlar arasından seçecekleri 5 adet STE yerini tercih sırasına göre başvuru dilekçelerinde belirtirler. Bölüm STE Komisyonu öğrencilerin tercih sırasını dikkate alarak STE yerlerini belirler. Ancak, gerekli durumlarda Bölüm STE Komisyonu öğrencilerin tercihleri dışında bir STE yeri belirlemesi de yapabilir"
DGS ile gelmiş öğrencilerin geçmiş STE ve eşdeğer eğitimler transfer edilebilir mi ?,DGS ile gelmiş öğrencilerin geçmiş STE ve eşdeğer eğitimler transfer edilemez
Sigorta yapılacak mı?,"3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir."
STE başladıktan sonra yer değiştirilebilir mi?,STE Komisyonunun bilgisi ve onayı alındıktan sonra STE yeri değişikliği yapılabilir.
"Haftanın kaç günü STE, kaç günü ders olacak?",STE yapılması için 2 gün ders günü ve 3 iş günü Bölüm Başkanlığı tarafından ders seçim döneminden önce belirlenir.
Haftanın kaç günü için sigorta yapılacak?," 3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir."
