answer,question
"Bölüm STE Komisyonu başvuru yapan öğrencilerin mevcut kontenjanlara dağılımını öğrencilerin genel akademik not ortalamasını dikkate alarak yapar","Not ortalamasının yüksek olması mevcut kontejyanlara girebilmeyi kolaylaştırır mı?"
") STE yerinin öğrenci tarafından bulunması ve Bölüm STE komisyonunun uygun görmesi durumunda, ilgili öğrenciye ilgili kuruluşta STE için öncelik verilir.","Kendi bulduğum firmada STE yapabilir miyim?"
"STE programlarının uygulanması üniversiteler arasında farklılık gösterdiğinden, dikey geçiş yapan öğrencilerin daha önce yapmış oldukları STE ve eşdeğer eğitimler transfer edilemez. Bu öğrenciler STE’lerini Namık Kemal Üniversitesi Çorlu Mühendislik Fakültesi STE Yönergesi’ne uygun şekilde yeniden yaparlar.","STE muafiyeti yapılabilir mi?"
"Öğrenciler, ilan edilen kontenjanlar arasından seçecekleri 5 adet STE yerini tercih sırasına göre başvuru dilekçelerinde belirtirler. Bölüm STE Komisyonu öğrencilerin tercih sırasını dikkate alarak STE yerlerini belirler. Ancak, gerekli durumlarda Bölüm STE Komisyonu öğrencilerin tercihleri dışında bir STE yeri belirlemesi de yapabilir","STE kontejyanlarına nasıl girebilirim?"
"DGS ile gelmiş öğrencilerin geçmiş STE ve eşdeğer eğitimler transfer edilemez","DGS ile gelmiş öğrencilerin geçmiş STE ve eşdeğer eğitimler transfer edilebilir mi ?"
"3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir.","Sigorta yapılacak mı?"
"STE Komisyonunun bilgisi ve onayı alındıktan sonra STE yeri değişikliği yapılabilir.","STE başladıktan sonra yer değiştirilebilir mi?"
"STE yapılması için 2 gün ders günü ve 3 iş günü Bölüm Başkanlığı tarafından ders seçim döneminden önce belirlenir.","Haftanın kaç günü STE, kaç günü ders olacak?"
" 3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir.","Haftanın kaç günü için sigorta yapılacak?"
"Belirli bir yer yoktur, herhangi bir yerde olabilir.","ste şirketleri nerede olmalıdır"
"Devam zorunluluğu olan derslere girmek zorundasınız","ste yaparken derslere girmek zorunlumudur?"
"danışmanların bilgisince yer değişikliği yapılabilir","ste yeri değiştirebilrmiyim"
"Ders kaydından son 1 haftaya kadar","steyi ne zamana kadar başvurmalıım"
"alttan dersin olmaması ve yeterli akts olması durumunda  alabilirsiniz","Ste de şartlar nelerdir"
"bütün dönem aksatılmaması gerekir","Ste de devamsızlık"
"herhangi bir şehirde yapabilirsiniz","Hangi şehirlerde yapabilirim"
"haftasonu hariç haftanın herhangi bir 3 gününde yapılabilir","Haftada kaç gün yapiliyor"
"danışmanların izni dahilinde yer değiştirilebilir","Yer degistirebilirmiyim"
"Bölüm başkanlığının izin verdiği takdirde yapılabilir.","Farkli şehirde yapabilirmiyim"
"Alttan dersiniz var ise ste yapamazsınız.","Alttan dersim var yapabilirmiyim"
"sigortayı okul yapmaktadır","Sigorta için ne gerekiyor"
"okul belli sayıdı kişiye yer ayarlamaktadır","Okul yer ayarliyor mu"
,"Hastalikta ne yapilir"
"devam zorunluluğu vardır","Kac hafta devamsızlık yapabilirim"
"Evet, rapor alarak devamsızlık yapılılabilir.","Raporlu devamsızlık yapilabilir mi"
"İŞKUR kapsamında olması halinde İŞKUR tarafından günlük ücretlendirilerek verilir. İŞKUR kapsamında olmaması halinde şirketiniz ile anlaşmanıza bağlıdır.","Maaş veriliyor mu"
,"Maas almak için ne yapmaliyim"
"Şirketiniz ile anlaştığınız takdirde alabilirsiniz.","Maaş alabilir miyim?"
"dgs ile gelenler ste yapmak zorundadır","dgs ile geldim ste yapmali miyim"
"ste zorunlu değildir, ste yerine seçmeli ders alınabilir","Ste zorunlu mu değilse baska ne yapabilirim"
"Mesleğiniz ile ilgili herhangi bir firmada yapabilirsiniz","Hangi firmalarda yapabilirim"
,"Kredisi ne kadar"
"Örnek rapor dökümanı mevcuttur.","Rapor nasil hazirlanir"
"Ste raporunda belli bir döküman mevcuttur"," Raporu nasıl hazırlanır"
"Mesleğiniz ile ilgili herhangi bir şirkette çalışabilirsiniz","Sektörde hangi firmalarda calışabilirim"
"ste ile beraber 2 seçmeli ders almak zorundasınız","Kaç ders almam gerekli"
"ste'de başarısızlık durumunda o dönem başarısız sayılır","Başarısız olursam ne olur"
"Websitesinde gerekli evraklar mevcuttur","Hangi evraklar gerekiyor"
"ste'de ortalama şartı yoktur","Ortalama şartı var mı?"
"Kendiniz bulabilir veya okulun sağlayacağı yerlerde yapabilirsiniz","Nasıl yer bulabilirim"
"ste yerine ders seçebilirsiniz","Yer bulamazsam ne olur"
"ders seçim haftası  ders secerek ste yapmayabilirsiniz","Yer bulamadım ne yapmam lazım"
"Öğrencilerin bir dönemi haftada 3 gün anlaştığı şirketlerde çalışarak geçirmesi","ste nasıl işler"
,"Sektör tümleşik eğitim nedir"
"Ste'de gerçek problemlere çözüm bulmanız beklenmektedir.","ste'de ne yapmalıyım"
"ste yerine ders alabilirsiniz","ste yapmazsak ne olur"
,"ste hakkında bilgiyi kimden alabilirim"
,"ste'der ders kredisi nedir"
"herhangi bir şirkette yapabilirsiniz","ste hangi şehirlerde yapılabilir"
,"steyi hangi şehirde yapabilirim"
"herhangi bir şehirde yapabilirsiniz","sektür tümleşik eğitimi hangi şehirde yapabilirim"
,"ste hangi şehirlerde yapılabilir"
"proje danışmanınızdan öğrenebilirsiniz","steyi kimden öğrenebilirim"
"ste komisyonu yada proje danışmanınız yardımcı olabilir.","ste hakkında kim yardımcı olabilir"
,"stede ne yapmalıyım"
,"stede ne gibi konular işlenmeli"
"dönem başında ders onayına kadar başvuru zamanınız bulunmaktadır.","steye nasıl başvurabilirim"
"Mesleğiniz ile ilgili herhangi bir şirkette yapabilirsiniz.","steyi nerde yapmalıyım"
,"ste hangi illerde yapılabilir"
"Diğer dersler gibi ste'de de devamsızlık yapılabilir.","stede devamsızlık varmıdır"
"Ste'i alıp başarısız olma durumunda o dönem için başarısız sayılır ve döneminiz uzamış sayılır.","steyi yapmazsak ne olur"
"Ste yerine ders alarabilirsiniz","steyi alamadım ne yapmalıyım"
,"steyi nerelerde yapabilirim"
"Proje danışmanınız","ste hakkındaki soruları kim cevaplar"
,"ste hangi dönemlerde olur"
"Evet ste yerine ders alabilirsiniz","ste yerine ders alabilir miyim"
"ste bir dönem  veya bazı bölümlerde bir sene boyunca yapılabilir","ste kaç gün yapılır"
"dönem sonunda yaptığınız işler ile ilgili sorular sorulmaktadır.","ste sınavı var mı"
"ste raporununu gün gün ne yaptığınızı ilgili dökümana doldurmalısınız","ste raporu nasıl doldurulur"
"Sektör tümleşik eğitim adı altında bir veya iki dönem boyunca bir şirkette haftanın üç günü çalışarak geçirdiğiniz eğitimdir","ste nedir"
"ste komisyonundan veya proje dnaışmanınızdan","steyi nereden öğrenebilirim"
